Date,Time,MidPrice,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1
2018/9/28,14:56:10,3.5035,3.504,296114915,3.503,125700,3.504,170400
2018/9/28,14:56:13,3.5035,3.504,296196915,3.503,248300,3.504,78600
2018/9/28,14:56:16,3.5035,3.504,296214415,3.503,415800,3.504,75400
2018/9/28,14:56:19,3.5035,3.504,296226215,3.503,405200,3.504,87400
2018/9/28,14:56:22,3.5045,3.504,296313615,3.504,49400,3.505,208500
2018/9/28,14:56:25,3.5045,3.505,296393415,3.504,4800,3.505,205300
2018/9/28,14:56:28,3.5045,3.505,296744315,3.504,30000,3.505,181500
2018/9/28,14:56:31,3.5045,3.504,296772015,3.504,12900,3.505,181500
2018/9/28,14:56:34,3.5045,3.504,296782715,3.504,3100,3.505,183000
2018/9/28,14:56:37,3.5045,3.504,296782715,3.504,38100,3.505,188000
2018/9/28,14:56:40,3.5045,3.505,296796515,3.504,70300,3.505,177000
2018/9/28,14:56:43,3.5045,3.505,296802515,3.504,150300,3.505,172000
2018/9/28,14:56:46,3.5045,3.505,296825615,3.504,148300,3.505,322800
2018/9/28,14:56:49,3.5045,3.505,296832915,3.504,197600,3.505,318200
2018/9/28,14:56:52,3.5045,3.505,296832915,3.504,197600,3.505,318200
2018/9/28,14:56:55,3.5045,3.504,297051915,3.504,36500,3.505,114200
2018/9/28,14:56:58,3.5045,3.505,297071315,3.504,218600,3.505,112700
2018/9/28,14:57:01,3.5045,3.504,297080815,3.504,209700,3.505,114100
2018/9/28,14:57:04,3.5045,3.505,297093215,3.504,207500,3.505,106900
2018/9/28,14:57:07,3.5045,3.505,297161315,3.504,199400,3.505,54700
2018/9/28,14:57:10,3.5045,3.505,297183015,3.504,202400,3.505,39000
2018/9/28,14:57:13,3.5045,3.505,297183015,3.504,202400,3.505,39000
2018/9/28,14:57:16,3.5045,3.505,297226015,3.504,192400,3.505,11000
2018/9/28,14:57:19,3.5045,3.505,297250915,3.504,684400,3.505,6100
2018/9/28,14:57:22,3.5055,3.505,297257015,3.505,1000,3.506,194900
2018/9/28,14:57:25,3.5045,3.504,297277015,3.504,685800,3.505,4800
2018/9/28,14:57:28,3.5055,3.505,297281815,3.505,94300,3.506,194900
2018/9/28,14:57:31,3.5055,3.505,297298315,3.505,87800,3.506,184900
2018/9/28,14:57:34,3.5055,3.505,297306415,3.505,98700,3.506,184800
2018/9/28,14:57:37,3.5055,3.505,297316415,3.505,105900,3.506,193300
2018/9/28,14:57:40,3.5055,3.506,297346915,3.505,180100,3.506,162800
2018/9/28,14:57:43,3.5055,3.506,297366115,3.505,467100,3.506,151600
2018/9/28,14:57:46,3.5055,3.505,297379815,3.505,460700,3.506,311800
2018/9/28,14:57:49,3.5055,3.505,297476015,3.505,385300,3.506,296800
2018/9/28,14:57:52,3.5055,3.506,297499415,3.505,849400,3.506,281600
2018/9/28,14:57:55,3.5055,3.506,297513415,3.505,840000,3.506,288600
2018/9/28,14:57:58,3.5055,3.506,297514215,3.505,854100,3.506,298300
2018/9/28,14:58:01,3.5055,3.506,297514215,3.505,1316000,3.506,309100
2018/9/28,14:58:04,3.5055,3.506,297553415,3.505,1319000,3.506,274800
2018/9/28,14:58:07,3.5055,3.506,297725215,3.505,1205000,3.506,232000
2018/9/28,14:58:10,3.5055,3.505,297744715,3.505,1193000,3.506,226500
2018/9/28,14:58:13,3.5055,3.506,297747215,3.505,1193000,3.506,273400
2018/9/28,14:58:16,3.5065,3.506,298027015,3.506,34800,3.507,434400
2018/9/28,14:58:19,3.5065,3.506,298035515,3.506,60000,3.507,434400
2018/9/28,14:58:22,3.5065,3.506,298078915,3.506,16900,3.507,436400
2018/9/28,14:58:25,3.5065,3.507,298200915,3.506,560800,3.507,314600
2018/9/28,14:58:28,3.5065,3.507,298200915,3.506,570100,3.507,314600
2018/9/28,14:58:31,3.5065,3.507,298313415,3.506,584900,3.507,212000
2018/9/28,14:58:34,3.5065,3.507,298324215,3.506,727500,3.507,208100
2018/9/28,14:58:37,3.5075,3.507,298535815,3.507,91400,3.508,340900
2018/9/28,14:58:40,3.5075,3.507,298536115,3.507,131800,3.508,340900
2018/9/28,14:58:43,3.5075,3.507,298541115,3.507,127800,3.508,340900
2018/9/28,14:58:46,3.5075,3.507,298541115,3.507,534900,3.508,346200
2018/9/28,14:58:49,3.5075,3.507,298541615,3.507,534400,3.508,355200
2018/9/28,14:58:52,3.5075,3.508,298558015,3.507,535100,3.508,338800
2018/9/28,14:58:55,3.5075,3.508,299288015,3.507,38900,3.508,108800
2018/9/28,14:58:58,3.5075,3.508,299304615,3.507,38900,3.508,92200
2018/9/28,14:59:01,3.507,3.506,299347915,3.506,932800,3.508,89200
2018/9/28,14:59:04,3.5075,3.508,299399315,3.507,23600,3.508,38800
2018/9/28,14:59:07,3.5085,3.508,299441115,3.508,21200,3.509,379481
2018/9/28,14:59:10,3.5075,3.508,299482515,3.507,333800,3.508,1700
2018/9/28,14:59:13,3.5085,3.509,299508615,3.508,3000,3.509,855181
2018/9/28,14:59:16,3.5075,3.508,299511915,3.507,333700,3.508,8100
2018/9/28,14:59:19,3.5085,3.508,299568315,3.508,39000,3.509,354881
2018/9/28,14:59:22,3.5075,3.508,299869415,3.507,26400,3.508,223000
2018/9/28,14:59:25,3.5075,3.508,300044115,3.507,31400,3.508,59400
2018/9/28,14:59:28,3.5085,3.508,300297915,3.508,2500,3.509,183281
2018/9/28,14:59:31,3.5085,3.509,300301915,3.508,24200,3.509,679281
2018/9/28,14:59:34,3.5075,3.508,300353115,3.507,210900,3.508,202200
2018/9/28,14:59:37,3.5075,3.507,300591015,3.507,120700,3.508,45500
2018/9/28,14:59:40,3.5085,3.508,300651515,3.508,423000,3.509,238981
2018/9/28,14:59:43,3.5085,3.509,300659515,3.508,440500,3.509,730981
2018/9/28,14:59:46,3.5085,3.508,301097415,3.508,13800,3.509,735981
2018/9/28,14:59:49,3.5085,3.508,301102415,3.508,12700,3.509,735981
2018/9/28,14:59:52,3.5085,3.508,301102415,3.508,35600,3.509,744281
2018/9/28,14:59:55,3.5085,3.509,301120515,3.508,88400,3.509,931181
2018/9/28,14:59:58,3.5095,3.509,302052596,3.509,211219,3.51,356300
2018/9/28,15:00:00,3.5085,3.509,302266815,3.508,4000,3.509,305781